,country_name,indicator_name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
87146,Austria,Fixed broadband subscriptions (per 100 people),3.959125426,5.54434666,7.350915843,10.58805704,14.22400998,17.2835331,19.50987865,20.72760735,22.43639807,24.38064725,24.81457091,25.05461216,26.092224,27.38179226,28.2935384,28.84661223,28.47424251,28.35552784,28.12809949,28.934986
87148,Austria,Fixed telephone subscriptions (per 100 people),49.35940214,47.73547246,47.42013432,46.5022597,45.30116979,43.51057041,40.98036779,39.38125515,38.85263267,40.40452564,40.07806943,39.75429026,38.96594617,40.84518388,41.59513105,40.78057906,42.0775698,42.01083115,41.56432836,42.04483302
87167,Austria,GDP (current US$),197508773215.323,214394866675.24,262273631180.054,301457562038.541,316092273276.015,336280064332.411,389185571506.052,432051935642.945,401758735822.211,392275107258.667,431685217367.511,409401816050.531,430190979705.962,442584815286.034,381971148530.543,395837353031.499,417261151844.977,455168151938.941,445011872704.47,433258467676.515
87317,Austria,Individuals using the Internet (% of population),39.18545018,36.56,42.7,54.28,58.0,63.6,69.37,72.87,73.45,75.17,78.7399931,80.02999392,80.6188,80.99582496,83.94014193,84.32374257,87.93558659,87.47913723,87.75220479,87.52942813
87395,Austria,"Life expectancy at birth, female (years)",81.7,81.7,81.5,82.1,82.2,82.8,83.1,83.3,83.2,83.5,83.8,83.6,83.8,84.0,83.7,84.1,84.0,84.1,84.2,83.6
87396,Austria,"Life expectancy at birth, male (years)",75.6,75.8,75.9,76.4,76.6,77.1,77.4,77.7,77.6,77.8,78.3,78.4,78.6,79.1,78.8,79.3,79.4,79.4,79.7,78.9
87477,Austria,Mobile cellular subscriptions (per 100 people),80.77554402,82.8086898,88.96932087,97.26408257,104.9838556,112.0170885,119.2243632,129.6644309,136.5634805,145.5537959,154.0495234,159.8169515,155.1157881,150.345714,155.2154711,126.6614696,123.1192958,123.5352681,119.7752968,118.9981278
87758,Austria,"Population, female",4136937.0,4156033.0,4175478.0,4200660.0,4228324.0,4247864.0,4259861.0,4271066.0,4279831.0,4287444.0,4299034.0,4315556.0,4337527.0,4367372.0,4411651.0,4453787.0,4478340.0,4493586.0,4507562.0,4521310.0
87760,Austria,"Population, male",3905356.0,3925924.0,3945945.0,3971306.0,3999505.0,4020777.0,4035626.0,4050430.0,4063492.0,4075960.0,4092609.0,4114435.0,4142296.0,4178984.0,4231048.0,4282881.0,4319226.0,4346935.0,4372358.0,4395554.0
87762,Austria,"Population, total",8042293.0,8081957.0,8121423.0,8171966.0,8227829.0,8268641.0,8295487.0,8321496.0,8343323.0,8363404.0,8391643.0,8429991.0,8479823.0,8546356.0,8642699.0,8736668.0,8797566.0,8840521.0,8879920.0,8916864.0
88099,Austria,"Unemployment, female (% of female labor force) (modeled ILO estimate)",4.13299989700317,4.52899980545044,4.34200000762939,5.88500022888184,5.85900020599365,5.59899997711182,5.30000019073486,4.41099977493286,5.08500003814697,4.63199996948242,4.57600021362305,4.79500007629395,5.28700017929077,5.38100004196167,5.30600023269653,5.53800010681152,5.03200006484985,4.65299987792969,4.35099983215332,5.22700023651123
88100,Austria,"Unemployment, female (% of female labor force) (national estimate)",4.13000011444092,4.53000020980835,4.34000015258789,5.8899998664856,5.8600001335144,5.59999990463257,5.30000019073486,4.40999984741211,5.09000015258789,4.63000011444092,4.57999992370605,4.78999996185303,5.28999996185303,5.38000011444092,5.30999994277954,5.53999996185303,5.03000020980835,4.65000009536743,4.34999990463257,5.23000001907349
88101,Austria,"Unemployment, male (% of male labor force) (modeled ILO estimate)",3.91300010681152,5.10900020599365,5.13199996948242,5.78499984741211,5.43900012969971,4.93900012969971,4.48999977111816,3.89100003242493,5.4850001335144,4.98199987411499,4.5460000038147,4.93499994277954,5.36700010299683,5.83099985122681,6.08599996566772,6.42799997329712,5.91200017929077,5.02299976348877,4.61100006103516,5.47700023651123
88102,Austria,"Unemployment, male (% of male labor force) (national estimate)",3.91000008583069,5.1100001335144,5.13000011444092,5.78999996185303,5.44000005722046,4.94000005722046,4.48999977111816,3.89000010490417,5.48999977111816,4.98000001907349,4.55000019073486,4.92999982833862,5.36999988555908,5.82999992370605,6.09000015258789,6.42999982833862,5.90999984741211,5.01999998092651,4.6100001335144,5.48000001907349
97261,Belgium,Fixed broadband subscriptions (per 100 people),4.457894689,7.867120571,11.92939997,15.45730835,19.06329508,23.08574576,25.51629473,27.67016385,29.03572211,30.83667139,32.17547029,33.3052753,34.32772916,35.74653262,36.50842403,37.60922178,38.34561848,39.21686286,39.78313988,40.84869715
97263,Belgium,Fixed telephone subscriptions (per 100 people),49.73044434,47.57988149,46.78937544,45.81055727,45.45970251,44.52009162,45.31180533,43.92451338,42.68972941,42.41604083,42.07657393,41.80994425,41.11974448,40.39195878,39.76554624,38.49650621,37.4948554,35.76729084,34.06099558,31.36114954
97282,Belgium,GDP (current US$),236746141604.37,258383599375.177,318082528506.588,369214712443.206,385714762230.039,408259840868.823,470922156309.453,517328087920.078,483254171097.812,481420882905.001,523330354138.133,496152879924.727,521791015247.06,535390200131.018,462335574841.484,476062757356.927,502764720556.354,543273794572.392,535288715239.999,521861292586.616
97432,Belgium,Individuals using the Internet (% of population),31.28839551,46.33,49.97,53.86,55.82,59.72,64.44,66.0,70.0,75.0,81.609996,80.71999055,82.1702,85.0,85.05294175,86.51647666,87.67968082,88.647343,90.27542981,91.52641629
97510,Belgium,"Life expectancy at birth, female (years)",81.2,81.2,81.1,81.9,81.9,82.3,82.6,82.6,82.8,83.0,83.3,83.1,83.2,83.9,83.4,84.0,83.9,83.9,84.3,83.1
